Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
21-03-2023,157.0054626,1036.110229,2856.586914,7988.946289,759.9803467,100.6100006,831.8065186,1275.449097
22-03-2023,155.5761719,1039.260254,2879.302979,8012.248047,758.2241821,98.69999695,839.4180908,1274.119263
23-03-2023,156.6604156,1026.113159,2873.64624,8110.11377,752.1373901,98.70999908,834.7828979,1260.637573
24-03-2023,157.9616241,1005.79895,2869.830078,8003.024902,750.9344482,98.12999725,831.8065186,1266.231812
27-03-2023,156.0197296,1021.433899,2871.485352,8037.442383,754.2063599,98.04000092,828.1959229,1273.844116
28-03-2023,155.3987274,1026.204468,2865.599121,7969.916016,760.3412476,97.23999786,834.0997314,1263.434937
29-03-2023,158.4741821,1020.132935,2886.751709,8053.898926,763.9981689,100.25,830.4403076,1268.891602
31-03-2023,162.5451813,1064.116455,2948.369629,8050.84082,774.463623,103.2900009,856.0561523,1309.612061
03-04-2023,163.7970428,1064.299072,2942.943848,8255.603516,774.9447632,102.4100037,862.447876,1293.929199
05-04-2023,161.421463,1061.742676,2979.546875,8201.233398,795.7310791,101.0999985,863.2285767,1305.576782
06-04-2023,162.3086243,1068.863892,2961.980225,8268.807617,801.7938843,102.0599976,853.8605347,1304.063477
10-04-2023,159.7161713,1061.286133,3001.250244,8286.769531,797.9926758,102.1699982,847.46875,1309.291016
11-04-2023,158.5037231,1066.535767,2955.63501,8407.548828,800.3262939,99.91999817,860.5938721,1289.618774
12-04-2023,157.8137207,1071.237793,2981.248047,8370.168945,810.7196045,97.83000183,868.6445923,1309.932983
13-04-2023,163.1957703,1075.277832,2932.689697,8418.47168,814.3522949,102.4000015,877.2807007,1274.073364
17-04-2023,162.8704681,1080.73291,2887.303467,8422.208984,801.9382324,102.7399979,879.5251465,1154.021484
18-04-2023,164.0927887,1068.361816,2879.256348,8478.522461,798.5459595,102.3000031,875.1825562,1154.984375
19-04-2023,165.2362061,1073.680054,2841.412354,8427.355469,801.4810791,104.3000031,870.3522339,1130.084351
20-04-2023,164.2702026,1070.963867,2855.391113,8461.045898,804.4644165,103.8099976,872.7918701,1122.013672
21-04-2023,162.6634674,1072.310547,2906.939209,8309.391602,805.7634888,106.9599991,864.2532349,1125.636475
24-04-2023,162.9690552,1076.419067,2919.768066,8219.777344,812.2833862,106.2099991,882.8917847,1124.67334
25-04-2023,161.4313202,1084.658691,2920.871826,8222.447266,800.7353516,102.5699997,891.3816528,1123.389526
26-04-2023,161.421463,1078.290649,2941.242432,8259.341797,804.4161987,104.9800034,892.8453979,1125.819702
27-04-2023,166.0050507,1085.115234,2931.862061,8294.342773,808.8429565,109.8199997,896.163147,1142.969971
28-04-2023,167.2569275,1104.950073,2960.647705,8339.585938,812.0186768,105.4499969,895.4801636,1148.931396
02-05-2023,166.133194,1114.331055,2960.7854,8521.435547,811.8502808,103.6299973,899.8226318,1171.584106
03-05-2023,165.0587921,1104.767456,2924.458496,8541.290039,814.689209,103.6500015,900.5544434,1163.97229
04-05-2023,163.4224854,1117.503662,2961.980225,8544.494141,831.3616333,104,899.432312,1168.00769
05-05-2023,171.0914001,1114.650635,2971.177979,8688.236328,782.2103882,105.6600037,904.5554199,1154.755005
08-05-2023,171.0223694,1128.414063,2989.479248,8812.123047,791.2562866,105.8300018,915.2408447,1160.716431
09-05-2023,169.3171082,1131.906128,3019.506104,8846.394531,791.2803345,106.6200027,911.8255005,1165.393799
10-05-2023,171.0815125,1139.689575,3022.77124,8901.348633,794.9372559,110.1900024,913.4356079,1158.561401
11-05-2023,171.2688293,1132.248657,3018.494629,8991.399414,795.4664917,112.1800003,916.5094604,1152.003662
12-05-2023,170.3409424,1134.097412,3011.275635,9024.896484,802.4916382,110.2600021,921.0959473,1142.006958
15-05-2023,169.8474121,1136.334229,2993.572021,8939.359375,806.3410034,111.1999969,922.9012451,1154.067261
16-05-2023,169.8474121,1120.151367,2996.422852,8807.365234,801.7174072,113.4000015,923.4866943,1159.52417
17-05-2023,170.4594116,1113.532104,2950.944824,8854.017578,797.4102173,115.5,916.6558838,1143.566284
18-05-2023,172.7889099,1111.13562,2942.805908,8789.839844,800.5980225,118.1500015,923.6331787,1142.740601
19-05-2023,172.8974915,1114.741821,2963.958252,8840.958008,801.5228271,116.25,931.2446899,1163.743042
22-05-2023,171.9498901,1120.699097,3033.715332,8890.183594,798.6757202,115.0100021,927.3901367,1185.662231
23-05-2023,169.3440094,1120.493774,3032.197998,8932.951172,796.8018799,114.9899979,930.3664551,1192.311401
24-05-2023,169.6203918,1113.96582,3037.991455,9000.962891,786.3868408,116.75,917.9244385,1191.027344
25-05-2023,170.7555389,1113.828979,3028.933105,9011.740234,783.3693237,115,917.1437988,1196.255127
26-05-2023,173.1639862,1144.208862,3061.48877,9126.40332,786.3868408,120.1100006,927.7316895,1208.269409
30-05-2023,175.0098419,1150.348755,3049.809082,9110.285156,796.5828857,121.6600037,926.9998169,1214.139038
31-05-2023,174.9605103,1127.500854,3025.25415,9095.091797,783.9777222,120.5800018,926.2191162,1209.049072
01-06-2023,177.7638397,1124.465332,3056.982422,9056.837891,780.6439209,122.7699966,913.484314,1210.149414
02-06-2023,178.6127014,1120.790527,3040.060547,9209.317383,781.8606567,124.25,915.4848633,1207.361328
05-06-2023,177.260376,1130.856323,3024.702637,9303.251953,780.838623,125.3000031,923.8770752,1212.473267
06-06-2023,176.8952026,1131.814819,2972.649414,9452.867188,778.4051514,126.6100006,919.3394165,1188.772095
07-06-2023,175.5231171,1140.396973,3011.82666,9425.001953,782.4446411,121.2300034,917.4853516,1198.020142
08-06-2023,178.2375946,1141.081665,2976.465576,9377.525391,782.9312744,124.25,915.2408447,1192.304199
09-06-2023,178.6225891,1133.001831,2951.496338,9347.62207,783.8560181,123.4300003,915.3872681,1176.6427
12-06-2023,181.4160156,1134.006104,2986.076172,9272.523438,779.0865479,126.5699997,913.3380127,1200.808472
13-06-2023,180.9422302,1150.759399,2983.133057,9240.532227,780.4005737,126.6600037,920.7543945,1212.798584
14-06-2023,181.5739441,1164.910889,2989.893066,9255.094727,779.5488892,126.4199982,917.0949707,1208.66272
15-06-2023,183.6073456,1165.230469,2979.933105,9315.630859,769.9611816,127.1100006,904.2138672,1196.021973
16-06-2023,182.5314178,1176.574463,2941.575195,9324.223633,780.0355225,125.4899979,911.6303711,1200.529907
20-06-2023,182.6202545,1167.307495,2990.495117,9215.870117,782.3473511,125.7799988,903.18927,1211.450928
21-06-2023,181.5838165,1170.594238,3018.753418,9166.112305,796.0231323,124.8300018,902.3598022,1207.686523
22-06-2023,184.5845947,1157.447144,3000.501465,9129.412109,799.916687,130.1499939,903.3844604,1191.142334
23-06-2023,184.2686768,1147.974976,2979.979248,9055.866211,799.868042,129.3300018,901.1887817,1175.759766
26-06-2023,182.8768921,1139.210083,2955.240967,9194.609375,795.9989014,127.3300018,905.043396,1180.7323
27-06-2023,185.6308746,1139.621094,2962.375488,9185.676758,807.21698,129.1799927,913.484314,1188.911621
28-06-2023,186.8054962,1154.708252,2979.145508,9263.008789,815.7583618,129.0399933,914.8017578,1202.109863
30-06-2023,191.4645081,1164.18042,3059.565918,9504.179688,828.0470581,130.3600006,912.0205688,1241.286377
03-07-2023,189.9740448,1194.058228,3031.817383,9391.507813,837.0021362,130.2200012,919.7785034,1239.613281
05-07-2023,188.8586426,1179.815552,3075.965576,9701.514648,814.3712769,130.3800049,934.8552856,1252.253906
06-07-2023,189.3324432,1204.580444,3078.69873,9572.483398,815.1986084,128.3600006,936.2214966,1249.09375
07-07-2023,188.217041,1202.229492,3084.582275,9563.597656,808.0930176,129.7799988,923.5355225,1236.360107
10-07-2023,186.1737671,1248.541138,3031.493408,9452.963867,806.1705322,127.1299973,925.4872437,1235.384399
11-07-2023,185.650589,1262.076172,3031.910156,9612.045898,802.2527466,128.7799988,922.1206055,1253.462158
12-07-2023,187.3187714,1263.468506,3020.328369,9549.569336,794.7334595,130.8000031,921.5839233,1239.241577
13-07-2023,188.0788269,1252.170166,3095.05127,9366.796875,798.6998901,134.3000031,932.6108398,1268.798096
14-07-2023,188.2268829,1251.120361,3256.357178,9324.175781,800.3546753,134.6799927,936.8557739,1325.355347
17-07-2023,191.4842682,1276.684082,3235.093506,9407.574219,817.0966797,133.5599976,945.296814,1322.567139
18-07-2023,191.2276459,1287.525879,3239.865234,9384.371094,816.4153442,132.8300018,951.883728,1371.131104
19-07-2023,192.5799408,1297.294922,3215.034668,9327.961914,820.1141357,135.3600006,949.9320679,1370.898804
20-07-2023,190.6353912,1295.723755,3217.124512,9488.111328,821.890564,129.9600067,971.546936,1347.244019
21-07-2023,189.4607544,1255.613403,3128.877441,9485.732422,815.5635986,130,972.9130859,1237.661499
24-07-2023,190.2602692,1230.216797,3153.447021,9412.672852,816.8533936,128.8000031,968.0338135,1242.308716
25-07-2023,191.1190491,1229.425537,3157.534424,9474.615234,825.7109985,129.1300049,970.6686401,1240.449829
26-07-2023,191.9876709,1249.406372,3147.456543,9472.430664,822.8395386,128.1499939,972.3764038,1253.69458
27-07-2023,190.7242126,1237.783813,3155.444824,9469.759766,814.2982178,128.25,966.3261719,1257.691406
28-07-2023,193.3005219,1250.222656,3116.894287,9388.885742,799.868042,132.2100067,972.1324463,1245.933594
31-07-2023,193.9125061,1260.806519,3178.249268,9534.957031,803.6154175,133.6799927,974.1816406,1260.061279
01-08-2023,193.0833435,1242.976929,3206.674561,9433.984375,808.9933472,131.6900024,970.5222778,1268.891235
02-08-2023,190.0924835,1229.697632,3196.084717,9372.865234,798.40802,128.2100067,963.105896,1261.130249
03-08-2023,188.7006836,1224.529175,3158.277832,9353.166992,792.6407471,128.9100037,941.6861572,1268.05481
04-08-2023,179.6393127,1241.171631,3198.779053,9281.331055,804.1021729,139.5700073,947.0532837,1281.113525
07-08-2023,176.5398254,1248.244263,3236.399902,9333.664063,803.6398315,142.2200012,952.0789185,1294.730103
08-08-2023,177.4775696,1240.726563,3223.905762,9352.040039,802.9828491,139.9400024,956.2261963,1292.127441
09-08-2023,175.8883362,1248.911865,3216.381592,9274.175781,803.2747803,137.8500061,957.0133057,1296.03125
